,id,name,package,type,community
62,com.eteks.sweethome3d.j3d.Ground3D,Ground3D,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
63,com.eteks.sweethome3d.j3d.Ground3D.LevelAreas,Ground3D.LevelAreas,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
64,com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D,HomePieceOfFurniture3D,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
65,com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D.DefaultMaterialAndTexture,HomePieceOfFurniture3D.DefaultMaterialAndTexture,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
66,com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D.LightSelectionListener,HomePieceOfFurniture3D.LightSelectionListener,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
67,com.eteks.sweethome3d.j3d.Label3D,Label3D,com.eteks.sweethome3d.j3d,Structure,Plan-Component-Label
68,com.eteks.sweethome3d.j3d.Max3DSLoader,Max3DSLoader,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
69,com.eteks.sweethome3d.j3d.Max3DSLoader.Chunk3DS,Max3DSLoader.Chunk3DS,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
70,com.eteks.sweethome3d.j3d.Max3DSLoader.ChunkID,Max3DSLoader.ChunkID,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
71,com.eteks.sweethome3d.j3d.Max3DSLoader.ChunksInputStream,Max3DSLoader.ChunksInputStream,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
72,com.eteks.sweethome3d.j3d.Max3DSLoader.Face3DS,Max3DSLoader.Face3DS,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
73,com.eteks.sweethome3d.j3d.Max3DSLoader.Material3DS,Max3DSLoader.Material3DS,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
74,com.eteks.sweethome3d.j3d.Max3DSLoader.Mesh3DS,Max3DSLoader.Mesh3DS,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
75,com.eteks.sweethome3d.j3d.Max3DSLoader.Mesh3DSSharedVertex,Max3DSLoader.Mesh3DSSharedVertex,com.eteks.sweethome3d.j3d,Structure,DS-Max-Loader
76,com.eteks.sweethome3d.j3d.ModelManager,ModelManager,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
77,com.eteks.sweethome3d.j3d.ModelManager.ModelObserver,ModelManager.ModelObserver,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
78,com.eteks.sweethome3d.j3d.ModelManager.SVGPathSupport,ModelManager.SVGPathSupport,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
79,com.eteks.sweethome3d.j3d.OBJLoader,OBJLoader,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
80,com.eteks.sweethome3d.j3d.OBJLoader.Face,OBJLoader.Face,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
81,com.eteks.sweethome3d.j3d.OBJLoader.Geometry,OBJLoader.Geometry,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
82,com.eteks.sweethome3d.j3d.OBJLoader.Group,OBJLoader.Group,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
83,com.eteks.sweethome3d.j3d.OBJLoader.Line,OBJLoader.Line,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
84,com.eteks.sweethome3d.j3d.OBJMaterial,OBJMaterial,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
85,com.eteks.sweethome3d.j3d.OBJWriter,OBJWriter,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
86,com.eteks.sweethome3d.j3d.OBJWriter.ComparableAppearance,OBJWriter.ComparableAppearance,com.eteks.sweethome3d.j3d,Structure,OBJ-Loader-Writer
87,com.eteks.sweethome3d.j3d.Object3DBranch,Object3DBranch,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
88,com.eteks.sweethome3d.j3d.Object3DBranch.TextureKey,Object3DBranch.TextureKey,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
89,com.eteks.sweethome3d.j3d.Object3DBranchFactory,Object3DBranchFactory,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
90,com.eteks.sweethome3d.j3d.PhotoRenderer,PhotoRenderer,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
91,com.eteks.sweethome3d.j3d.PhotoRenderer.BufferedImageDisplay,PhotoRenderer.BufferedImageDisplay,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
92,com.eteks.sweethome3d.j3d.PhotoRenderer.PhotoObject3DFactory,PhotoRenderer.PhotoObject3DFactory,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
93,com.eteks.sweethome3d.j3d.PhotoRenderer.Quality,PhotoRenderer.Quality,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
94,com.eteks.sweethome3d.j3d.PhotoRenderer.SphereLightWithNoRepresentation,PhotoRenderer.SphereLightWithNoRepresentation,com.eteks.sweethome3d.j3d,Structure,PhotoRenderer.SphereLightWithNoRepresentation
95,com.eteks.sweethome3d.j3d.PhotoRenderer.TransparentTextureKey,PhotoRenderer.TransparentTextureKey,com.eteks.sweethome3d.j3d,Structure,PhotoRenderer.TransparentTextureKey
96,com.eteks.sweethome3d.j3d.PhotoRenderer.Triangle,PhotoRenderer.Triangle,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
97,com.eteks.sweethome3d.j3d.Room3D,Room3D,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
98,com.eteks.sweethome3d.j3d.TextureManager,TextureManager,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
99,com.eteks.sweethome3d.j3d.TextureManager.ComparableTexture,TextureManager.ComparableTexture,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
100,com.eteks.sweethome3d.j3d.TextureManager.ComparableTextureAngleTuple,TextureManager.ComparableTextureAngleTuple,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
101,com.eteks.sweethome3d.j3d.TextureManager.RotatedContentKey,TextureManager.RotatedContentKey,com.eteks.sweethome3d.j3d,Structure,Furniture-Catalog-Imported
102,com.eteks.sweethome3d.j3d.TextureManager.TextureObserver,TextureManager.TextureObserver,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
103,com.eteks.sweethome3d.j3d.Wall3D,Wall3D,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
104,com.eteks.sweethome3d.j3d.Wall3D.DoorOrWindowArea,Wall3D.DoorOrWindowArea,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
