"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_heat","diffusion_output_rank","HiDeF_persistence","level","name","selected","shared name"
,"0.0","0.0","0",,"false","FontSizeHandle GroupHandle NodeFigure NullHandle NumberTextFigure OffsetLocator PertDependency PertFigure TextFigure","3.17","9","0.0","5.3617047834751494E-8","34","1.7476794994978806E-13","34","14","2","C32297","false","C32297"
,"0.0","0.0","0",,"false","AbstractTool DragTracker FollowURLTool Handle HandleTracker MySelectionTool SelectAreaTracker SelectionTool","3.0","8","0.0","1.128425171864033E-4","11","1.0341869509543009E-9","13","47","2","C32298","false","C32298"
,"0.0","0.0","0",,"false","Drawing DrawingChangeEvent DrawingChangeListener DrawingEditor GridConstrainer JavaDrawViewer PointConstrainer StandardDrawingView","3.0","8","0.0","2.9868412015475846E-6","18","1.513022929680777E-11","19","13","3","C32299","false","C32299"
,"0.0","0.0","0",,"false","AbstractConnector ChopBoxConnector ChopEllipseConnector ChopPolygonConnector Geom LocatorConnector PolyLineConnector ShortestDistanceConnector","3.0","8","0.0","8.984954383709073E-10","45","1.9318716141568233E-15","45","27","3","C32300","false","C32300"
,"0.0","0.0","0",,"false","Clipboard CopyCommand CutCommand DeleteCommand DuplicateCommand FigureTransferCommand PasteCommand","2.807","7","1.0","0.8269447571304066","0","6.72494742095841E-8","7","52","3","C32301","false","C32301"
,"0.0","0.0","0",,"false","ChangeConnectionEndHandle ChangeConnectionHandle ChangeConnectionStartHandle ConnectionFigure ConnectionHandle ConnectionTool Connector","2.807","7","0.0","1.3052652027517345E-11","52","1.941361138363355E-17","52","22","4","C32302","false","C32302"
,"0.0","0.0","0",,"false","ArrowTip LineDecoration LineFigure PolyLineFigure PolyLineHandle PolyLineLocator ScribbleTool","2.807","7","0.0","1.3052652027517345E-11","51","1.941361138363355E-17","51","11","4","C32303","false","C32303"
,"0.0","0.0","0",,"false","ActionTool Animatable Animator BorderTool JavaDrawApp JavaDrawApplet ScribbleTool","2.807","7","0.0","2.819069776420887E-6","21","1.459086589349264E-11","22","10","1","C32304","false","C32304"
,"0.0","0.0","0",,"false","FontSizeHandle NodeFigure NumberTextFigure OffsetLocator PertDependency PertFigure TextFigure","2.807","7","0.0","9.378072596129232E-10","41","1.9902805669532633E-15","41","9","3","C32305","false","C32305"
,"0.0","0.0","0",,"false","CommandChoice DrawApplet Filler NothingApplet PaletteLayout PertApplet SleeperThread","2.807","7","0.0","1.1857800166449705E-4","9","1.0636975509749784E-9","11","5","2","C32306","false","C32306"
,"0.0","0.0","0",,"false","BringToFrontCommand CompositeFigure FigureEnumeration FigureEnumerator GroupFigure ReverseFigureEnumerator ReverseVectorEnumerator","2.807","7","0.0","9.774308341718848E-10","40","2.0490289104743522E-15","40","5","3","C32307","false","C32307"
,"0.0","0.0","0",,"false","HJDError PaletteButton PaletteIcon PaletteListener Tool ToolButton","2.585","6","0.0","6.104884145575203E-8","29","1.9058736656566932E-13","29","30","4","C32308","false","C32308"
,"0.0","0.0","0",,"false","AnimationDecorator BorderDecorator BouncingDrawing DecoratorFigure FigureChangeEvent StandardDrawing","2.585","6","0.0","1.0895115917177586E-7","26","3.532814225322805E-13","27","17","2","C32309","false","C32309"
,"0.0","0.0","0",,"false","BufferedUpdateStrategy Painter PatternPainter PointConstrainer SimpleUpdateStrategy StandardDrawingView","2.585","6","0.0","1.2186281747112768E-4","7","6.940445532383131E-8","6","7","2","C32310","false","C32310"
,"0.0","0.0","0",,"false","ArrowTip LineDecoration PolyLineFigure PolyLineHandle PolyLineLocator","2.322","5","0.0","1.690309266582552E-13","55","1.8017663392691114E-19","55","53","5","C32311","false","C32311"
,"0.0","0.0","0",,"false","DrawApplet Filler NothingApplet PertApplet SleeperThread","2.322","5","0.0","3.1089086301798206E-6","14","1.55113608050145E-11","15","33","3","C32312","false","C32312"
,"0.0","0.0","0",,"false","Animatable Animator JavaDrawApp JavaDrawApplet ScribbleTool","2.322","5","0.0","1.1535384008124457E-7","25","3.66974713739664E-13","26","17","2","C32313","false","C32313"
,"0.0","0.0","0",,"false","ConnectedTextTool FloatingTextField TextHolder TextTool URLTool","2.322","5","0.0","9.91668244224692E-10","39","2.069705052881617E-15","39","16","3","C32314","false","C32314"
,"0.0","0.0","0",,"false","BufferedUpdateStrategy Painter PatternPainter SimpleUpdateStrategy","2.0","4","0.0","1.3333158673163448E-4","5","3.4193130316490195E-6","4","72","4","C32315","false","C32315"
,"0.0","0.0","0",,"false","PolygonFigure PolygonHandle PolygonScaleHandle PolygonTool","2.0","4","0.0","5.454129535220874E-8","32","1.767382763768453E-13","32","64","2","C32316","false","C32316"
,"0.0","0.0","0",,"false","DiamondFigure RectangleFigure TriangleFigure TriangleRotationHandle","2.0","4","0.0","9.117150766586236E-10","43","1.9514638051385197E-15","43","49","3","C32317","false","C32317"
,"0.0","0.0","0",,"false","DrawApplication NetApp NothingApp PertApplication","2.0","4","0.0","2.87623664242269E-6","20","1.477329773551935E-11","21","49","1","C32318","false","C32318"
,"0.0","0.0","0",,"false","AnimationDecorator BorderDecorator BouncingDrawing DecoratorFigure","2.0","4","0.0","1.90201998538557E-9","37","4.01971857344295E-15","37","38","3","C32319","false","C32319"
,"0.0","0.0","0",,"false","ChopBoxConnector ChopEllipseConnector ChopPolygonConnector PolyLineConnector","2.0","4","0.0","1.338497684268776E-11","50","1.9769412853232903E-17","50","37","4","C32320","false","C32320"
,"0.0","0.0","0",,"false","Command CommandButton CommandChoice CommandMenu","2.0","4","0.0","6.724947420958575E-8","27","0.909221675146872","0","34","6","C32321","false","C32321"
,"0.0","0.0","0",,"false","FigureSelection Storable StorableInput StorableOutput","2.0","4","0.0","1.6901239171721328E-13","57","1.801654323219974E-19","57","21","5","C32322","false","C32322"
,"0.0","0.0","0",,"false","DrawingEditor JavaDrawViewer PointConstrainer StandardDrawingView","2.0","4","0.0","6.208210061609662E-8","28","1.927179339935904E-13","28","19","4","C32323","false","C32323"
,"0.0","0.0","0",,"false","Iconkit ImageFigure InsertImageCommand JavaDrawViewer","2.0","4","0.0","1.2162273180896379E-4","8","1.0790118898854848E-9","10","17","2","C32324","false","C32324"
,"0.0","0.0","0",,"false","AttributeFigure ColorMap EllipseFigure FigureAttributes","2.0","4","0.0","1.6901239171721328E-13","56","1.801654323219974E-19","56","16","5","C32325","false","C32325"
,"0.0","0.0","0",,"false","CopyCommand CutCommand DeleteCommand FigureTransferCommand","2.0","4","0.0","0.08638708152004443","1","1.1391408865725592E-9","9","16","4","C32326","false","C32326"
,"0.0","0.0","0",,"false","ChangeConnectionEndHandle ChangeConnectionHandle ChangeConnectionStartHandle Connector","2.0","4","0.0","1.690309266582552E-13","54","1.8017663392691114E-19","54","16","5","C32327","false","C32327"
,"0.0","0.0","0",,"false","FontSizeHandle NumberTextFigure OffsetLocator TextFigure","2.0","4","0.0","9.120491805303638E-10","42","1.9518210435795325E-15","42","13","4","C32328","false","C32328"
,"0.0","0.0","0",,"false","BringToFrontCommand FigureEnumeration FigureEnumerator GroupFigure","2.0","4","0.0","1.4406309035556122E-11","49","2.085623942579292E-17","49","11","4","C32329","false","C32329"
,"0.0","0.0","0",,"false","ElbowConnection ElbowHandle LineConnection NothingApplet","2.0","4","0.0","2.6101479483037663E-11","48","3.882418829684948E-17","48","9","4","C32330","false","C32330"
,"0.0","0.0","0",,"false","Handle HandleTracker MySelectionTool SelectionTool","2.0","4","0.0","2.9888498146642095E-6","17","1.513440669194237E-11","18","8","3","C32331","false","C32331"
,"0.0","0.0","0",,"false","DragTracker MySelectionTool SelectAreaTracker SelectionTool","2.0","4","0.0","2.9888498146642095E-6","16","1.513440669194237E-11","17","6","3","C32332","false","C32332"
,"0.0","0.0","0",,"false","AbstractTool DragTracker FollowURLTool SelectAreaTracker","2.0","4","0.0","2.9888498146642095E-6","15","1.513440669194237E-11","16","6","3","C32333","false","C32333"
,"0.0","0.0","0",,"false","HJDError PaletteIcon Tool ToolButton","2.0","4","0.0","1.0483852349842582E-9","38","2.152179066341391E-15","38","5","5","C32334","false","C32334"
