id,fullName,name,type
n10064,@java+method#com.fsck.k9.mail.store.imap.ImapResponseParserTest.readResponse_withListAsFirstToken_shouldThrow(),readResponse_withListAsFirstToken_shouldThrow,Operation
n10065,@java+interface#com.fsck.k9.mailstore.LockableDatabase.SchemaDefinition,SchemaDefinition,Structure
n10066,@java+method#com.fsck.k9.crypto.MessageCryptoStructureDetector.findPgpInlineParts(com.fsck.k9.mail.Part),findPgpInlineParts,Operation
n10067,@java+field#com.fsck.k9.activity.setup.FolderSettings.mIntegrate,mIntegrate,Variable
n10068,@java+method#com.fsck.k9.mail.store.imap.ImapStore.autoconfigureFolders(com.fsck.k9.mail.store.imap.ImapConnection),autoconfigureFolders,Operation
n10069,"@java+method#com.fsck.k9.activity.FolderList.FolderListHandler.accountSizeChanged(long,long).$anonymous1.run()",run,Operation
n1007,@java+field#com.fsck.k9.mail.store.webdav.WebDavStoreTest.mockHttpClientFactory,mockHttpClientFactory,Variable
n10070,@java+method#org.openintents.openpgp.OpenPgpDecryptionResult.toString(),toString,Operation
n10071,@java+method#com.fsck.k9.activity.MessageReference.parse(java.lang.String),parse,Operation
n10072,@java+field#com.fsck.k9.mail.helpers.KeyStoreProvider.KEYSTORE_PASSWORD,KEYSTORE_PASSWORD,Variable
n10073,"@java+method#com.fsck.k9.controller.MessagingController.queueExpunge(com.fsck.k9.Account,java.lang.String).$anonymous1.run()",run,Operation
n10074,"@java+method#com.fsck.k9.activity.setup.AccountSettings.onCreate(com.fsck.k9.fragment.Bundle).$anonymous7.onPreferenceChange(com.fsck.k9.activity.Preference,java.lang.Object)",onPreferenceChange,Operation
n10075,@java+field#com.fsck.k9.ui.crypto.MessageCryptoHelper.openPgpProviderPackage,openPgpProviderPackage,Variable
n10076,@java+method#com.fsck.k9.Account.getCryptoKey(),getCryptoKey,Operation
n10077,"@java+method#com.fsck.k9.ui.messageview.AttachmentController.createViewIntentForAttachmentProviderUri(com.fsck.k9.provider.Uri,java.lang.String)",createViewIntentForAttachmentProviderUri,Operation
n10078,@java+field#com.fsck.k9.activity.ManageIdentities.ACTIVITY_EDIT_IDENTITY,ACTIVITY_EDIT_IDENTITY,Variable
n10079,@java+field#com.fsck.k9.activity.setup.Prefs.mFixedWidth,mFixedWidth,Variable
n1008,@java+method#com.fsck.k9.Identity.setReplyTo(java.lang.String),setReplyTo,Operation
n10080,@java+method#com.fsck.k9.helper.RetainFragment.setData(T),setData,Operation
n10081,@java+method#com.fsck.k9.mail.store.webdav.WebDavFolderTest.folder_does_not_notify_listener_twice_when_fetching_flags_and_bodies(),folder_does_not_notify_listener_twice_when_fetching_flags_and_bodies,Operation
n10082,@java+method#com.fsck.k9.mail.store.imap.ImapFolderTest.getUnreadMessageCount(),getUnreadMessageCount,Operation
